sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000000,(test_30.0_)car_3_straight_8.333333333333334mps_0.5m_0000000.wav,30.0,8.333333333333334,0.5,0.0
sample_0000001,(test_31.0_)car_3_straight_8.61111111111111mps_0.5m_0000001.wav,31.0,8.61111111111111,0.5,0.0
sample_0000002,(test_32.0_)car_3_straight_8.88888888888889mps_0.5m_0000002.wav,32.0,8.88888888888889,0.5,0.0
sample_0000003,(test_33.0_)car_3_straight_9.166666666666666mps_0.5m_0000003.wav,33.0,9.166666666666666,0.5,0.0
sample_0000004,(test_34.0_)car_3_straight_9.444444444444445mps_0.5m_0000004.wav,34.0,9.444444444444445,0.5,0.0
sample_0000005,(test_35.0_)car_3_straight_9.722222222222221mps_0.5m_0000005.wav,35.0,9.722222222222221,0.5,0.0
sample_0000006,(test_36.0_)car_3_straight_10.0mps_0.5m_0000006.wav,36.0,10.0,0.5,0.0
sample_0000007,(test_37.0_)car_3_straight_10.277777777777777mps_0.5m_0000007.wav,37.0,10.277777777777777,0.5,0.0
sample_0000008,(test_38.0_)car_3_straight_10.555555555555555mps_0.5m_0000008.wav,38.0,10.555555555555555,0.5,0.0
sample_0000009,(test_39.0_)car_3_straight_10.833333333333334mps_0.5m_0000009.wav,39.0,10.833333333333334,0.5,0.0
sample_0000010,(test_40.0_)car_3_straight_11.11111111111111mps_0.5m_0000010.wav,40.0,11.11111111111111,0.5,0.0
sample_0000011,(test_41.0_)car_3_straight_11.38888888888889mps_0.5m_0000011.wav,41.0,11.38888888888889,0.5,0.0
sample_0000012,(test_42.0_)car_3_straight_11.666666666666666mps_0.5m_0000012.wav,42.0,11.666666666666666,0.5,0.0
sample_0000013,(test_43.0_)car_3_straight_11.944444444444445mps_0.5m_0000013.wav,43.0,11.944444444444445,0.5,0.0
sample_0000014,(test_44.0_)car_3_straight_12.222222222222221mps_0.5m_0000014.wav,44.0,12.222222222222221,0.5,0.0
sample_0000015,(test_45.0_)car_3_straight_12.5mps_0.5m_0000015.wav,45.0,12.5,0.5,0.0
sample_0000016,(test_46.0_)car_3_straight_12.777777777777777mps_0.5m_0000016.wav,46.0,12.777777777777777,0.5,0.0
sample_0000017,(test_47.0_)car_3_straight_13.055555555555555mps_0.5m_0000017.wav,47.0,13.055555555555555,0.5,0.0
sample_0000018,(test_48.0_)car_3_straight_13.333333333333332mps_0.5m_0000018.wav,48.0,13.333333333333332,0.5,0.0
sample_0000019,(test_49.0_)car_3_straight_13.61111111111111mps_0.5m_0000019.wav,49.0,13.61111111111111,0.5,0.0
sample_0000020,(test_50.0_)car_3_straight_13.88888888888889mps_0.5m_0000020.wav,50.0,13.88888888888889,0.5,0.0
sample_0000021,(test_51.0_)car_3_straight_14.166666666666666mps_0.5m_0000021.wav,51.0,14.166666666666666,0.5,0.0
sample_0000022,(test_52.0_)car_3_straight_14.444444444444445mps_0.5m_0000022.wav,52.0,14.444444444444445,0.5,0.0
sample_0000023,(test_53.0_)car_3_straight_14.722222222222221mps_0.5m_0000023.wav,53.0,14.722222222222221,0.5,0.0
sample_0000024,(test_54.0_)car_3_straight_15.0mps_0.5m_0000024.wav,54.0,15.0,0.5,0.0
sample_0000025,(test_55.0_)car_3_straight_15.277777777777777mps_0.5m_0000025.wav,55.0,15.277777777777777,0.5,0.0
sample_0000026,(test_56.0_)car_3_straight_15.555555555555555mps_0.5m_0000026.wav,56.0,15.555555555555555,0.5,0.0
