sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,(test_31.0_)KiaSportage_straight_8.61111111111111mps_0.5m_0000001.wav,31.0,8.61111111111111,0.5,0.0
sample_0000002,(test_33.0_)KiaSportage_straight_9.166666666666666mps_0.5m_0000002.wav,33.0,9.166666666666666,0.5,0.0
sample_0000003,(test_35.0_)KiaSportage_straight_9.722222222222221mps_0.5m_0000003.wav,35.0,9.722222222222221,0.5,0.0
sample_0000004,(test_38.0_)KiaSportage_straight_10.555555555555555mps_0.5m_0000004.wav,38.0,10.555555555555555,0.5,0.0
sample_0000005,(test_41.0_)KiaSportage_straight_11.38888888888889mps_0.5m_0000005.wav,41.0,11.38888888888889,0.5,0.0
sample_0000006,(test_44.0_)KiaSportage_straight_12.222222222222221mps_0.5m_0000006.wav,44.0,12.222222222222221,0.5,0.0
sample_0000007,(test_46.0_)KiaSportage_straight_12.777777777777777mps_0.5m_0000007.wav,46.0,12.777777777777777,0.5,0.0
sample_0000008,(test_48.0_)KiaSportage_straight_13.333333333333332mps_0.5m_0000008.wav,48.0,13.333333333333332,0.5,0.0
sample_0000009,(test_51.0_)KiaSportage_straight_14.166666666666666mps_0.5m_0000009.wav,51.0,14.166666666666666,0.5,0.0
sample_0000010,(test_53.0_)KiaSportage_straight_14.722222222222221mps_0.5m_0000010.wav,53.0,14.722222222222221,0.5,0.0
sample_0000011,(test_55.0_)KiaSportage_straight_15.277777777777777mps_0.5m_0000011.wav,55.0,15.277777777777777,0.5,0.0
sample_0000012,(test_58.0_)KiaSportage_straight_16.11111111111111mps_0.5m_0000012.wav,58.0,16.11111111111111,0.5,0.0
sample_0000013,(test_61.0_)KiaSportage_straight_16.944444444444443mps_0.5m_0000013.wav,61.0,16.944444444444443,0.5,0.0
sample_0000014,(test_63.0_)KiaSportage_straight_17.5mps_0.5m_0000014.wav,63.0,17.5,0.5,0.0
sample_0000015,(test_65.0_)KiaSportage_straight_18.055555555555554mps_0.5m_0000015.wav,65.0,18.055555555555554,0.5,0.0
sample_0000016,(test_68.0_)KiaSportage_straight_18.88888888888889mps_0.5m_0000016.wav,68.0,18.88888888888889,0.5,0.0
sample_0000017,(test_69.0_)KiaSportage_straight_19.166666666666668mps_0.5m_0000017.wav,69.0,19.166666666666668,0.5,0.0
sample_0000018,(test_72.0_)KiaSportage_straight_20.0mps_0.5m_0000018.wav,72.0,20.0,0.5,0.0
sample_0000019,(test_74.0_)KiaSportage_straight_20.555555555555554mps_0.5m_0000019.wav,74.0,20.555555555555554,0.5,0.0
sample_0000020,(test_77.0_)KiaSportage_straight_21.38888888888889mps_0.5m_0000020.wav,77.0,21.38888888888889,0.5,0.0
sample_0000021,(test_78.0_)KiaSportage_straight_21.666666666666668mps_0.5m_0000021.wav,78.0,21.666666666666668,0.5,0.0
sample_0000022,(test_80.0_)KiaSportage_straight_22.22222222222222mps_0.5m_0000022.wav,80.0,22.22222222222222,0.5,0.0
sample_0000023,(test_83.0_)KiaSportage_straight_23.055555555555554mps_0.5m_0000023.wav,83.0,23.055555555555554,0.5,0.0
sample_0000024,(test_85.0_)KiaSportage_straight_23.61111111111111mps_0.5m_0000024.wav,85.0,23.61111111111111,0.5,0.0
sample_0000025,(test_86.0_)KiaSportage_straight_23.88888888888889mps_0.5m_0000025.wav,86.0,23.88888888888889,0.5,0.0
sample_0000026,(test_89.0_)KiaSportage_straight_24.72222222222222mps_0.5m_0000026.wav,89.0,24.72222222222222,0.5,0.0
sample_0000027,(test_91.0_)KiaSportage_straight_25.27777777777778mps_0.5m_0000027.wav,91.0,25.27777777777778,0.5,0.0
sample_0000028,(test_93.0_)KiaSportage_straight_25.833333333333332mps_0.5m_0000028.wav,93.0,25.833333333333332,0.5,0.0
sample_0000029,(test_96.0_)KiaSportage_straight_26.666666666666664mps_0.5m_0000029.wav,96.0,26.666666666666664,0.5,0.0
sample_0000030,(test_98.0_)KiaSportage_straight_27.22222222222222mps_0.5m_0000030.wav,98.0,27.22222222222222,0.5,0.0
sample_0000031,(test_100.0_)KiaSportage_straight_27.77777777777778mps_0.5m_0000031.wav,100.0,27.77777777777778,0.5,0.0
sample_0000032,(test_103.0_)KiaSportage_straight_28.61111111111111mps_0.5m_0000032.wav,103.0,28.61111111111111,0.5,0.0
sample_0000033,(test_105.0_)KiaSportage_straight_29.166666666666664mps_0.5m_0000033.wav,105.0,29.166666666666664,0.5,0.0
