sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,(test_30.0_)Peuguot307_straight_8.333333333333334mps_0.5m_0000001.wav,30.0,8.333333333333334,0.5,0.0
sample_0000002,(test_33.0_)Peuguot307_straight_9.166666666666666mps_0.5m_0000002.wav,33.0,9.166666666666666,0.5,0.0
sample_0000003,(test_35.0_)Peuguot307_straight_9.722222222222221mps_0.5m_0000003.wav,35.0,9.722222222222221,0.5,0.0
sample_0000004,(test_38.0_)Peuguot307_straight_10.555555555555555mps_0.5m_0000004.wav,38.0,10.555555555555555,0.5,0.0
sample_0000005,(test_40.0_)Peuguot307_straight_11.11111111111111mps_0.5m_0000005.wav,40.0,11.11111111111111,0.5,0.0
sample_0000006,(test_43.0_)Peuguot307_straight_11.944444444444445mps_0.5m_0000006.wav,43.0,11.944444444444445,0.5,0.0
sample_0000007,(test_45.0_)Peuguot307_straight_12.5mps_0.5m_0000007.wav,45.0,12.5,0.5,0.0
sample_0000008,(test_47.0_)Peuguot307_straight_13.055555555555555mps_0.5m_0000008.wav,47.0,13.055555555555555,0.5,0.0
sample_0000009,(test_48.0_)Peuguot307_straight_13.333333333333332mps_0.5m_0000009.wav,48.0,13.333333333333332,0.5,0.0
sample_0000010,(test_50.0_)Peuguot307_straight_13.88888888888889mps_0.5m_0000010.wav,50.0,13.88888888888889,0.5,0.0
sample_0000011,(test_53.0_)Peuguot307_straight_14.722222222222221mps_0.5m_0000011.wav,53.0,14.722222222222221,0.5,0.0
sample_0000012,(test_56.0_)Peuguot307_straight_15.555555555555555mps_0.5m_0000012.wav,56.0,15.555555555555555,0.5,0.0
sample_0000013,(test_59.0_)Peuguot307_straight_16.38888888888889mps_0.5m_0000013.wav,59.0,16.38888888888889,0.5,0.0
sample_0000014,(test_60.0_)Peuguot307_straight_16.666666666666668mps_0.5m_0000014.wav,60.0,16.666666666666668,0.5,0.0
sample_0000015,(test_63.0_)Peuguot307_straight_17.5mps_0.5m_0000015.wav,63.0,17.5,0.5,0.0
sample_0000016,(test_66.0_)Peuguot307_straight_18.333333333333332mps_0.5m_0000016.wav,66.0,18.333333333333332,0.5,0.0
sample_0000017,(test_69.0_)Peuguot307_straight_19.166666666666668mps_0.5m_0000017.wav,69.0,19.166666666666668,0.5,0.0
sample_0000018,(test_72.0_)Peuguot307_straight_20.0mps_0.5m_0000018.wav,72.0,20.0,0.5,0.0
sample_0000019,(test_73.0_)Peuguot307_straight_20.27777777777778mps_0.5m_0000019.wav,73.0,20.27777777777778,0.5,0.0
sample_0000020,(test_76.0_)Peuguot307_straight_21.11111111111111mps_0.5m_0000020.wav,76.0,21.11111111111111,0.5,0.0
sample_0000021,(test_79.0_)Peuguot307_straight_21.944444444444443mps_0.5m_0000021.wav,79.0,21.944444444444443,0.5,0.0
sample_0000022,(test_82.0_)Peuguot307_straight_22.77777777777778mps_0.5m_0000022.wav,82.0,22.77777777777778,0.5,0.0
sample_0000023,(test_85.0_)Peuguot307_straight_23.61111111111111mps_0.5m_0000023.wav,85.0,23.61111111111111,0.5,0.0
sample_0000024,(test_88.0_)Peuguot307_straight_24.444444444444443mps_0.5m_0000024.wav,88.0,24.444444444444443,0.5,0.0
sample_0000025,(test_91.0_)Peuguot307_straight_25.27777777777778mps_0.5m_0000025.wav,91.0,25.27777777777778,0.5,0.0
sample_0000026,(test_94.0_)Peuguot307_straight_26.11111111111111mps_0.5m_0000026.wav,94.0,26.11111111111111,0.5,0.0
sample_0000027,(test_97.0_)Peuguot307_straight_26.944444444444443mps_0.5m_0000027.wav,97.0,26.944444444444443,0.5,0.0
sample_0000028,(test_101.0_)Peuguot307_straight_28.055555555555554mps_0.5m_0000028.wav,101.0,28.055555555555554,0.5,0.0
sample_0000029,(test_103.0_)Peuguot307_straight_28.61111111111111mps_0.5m_0000029.wav,103.0,28.61111111111111,0.5,0.0
