sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,(test_30.0_)VWPassat_straight_8.333333333333334mps_0.5m_0000001.wav,30.0,8.333333333333334,0.5,0.0
sample_0000002,(test_35.0_)VWPassat_straight_9.722222222222221mps_0.5m_0000002.wav,35.0,9.722222222222221,0.5,0.0
sample_0000003,(test_39.0_)VWPassat_straight_10.833333333333334mps_0.5m_0000003.wav,39.0,10.833333333333334,0.5,0.0
sample_0000004,(test_40.0_)VWPassat_straight_11.11111111111111mps_0.5m_0000004.wav,40.0,11.11111111111111,0.5,0.0
sample_0000005,(test_42.0_)VWPassat_straight_11.666666666666666mps_0.5m_0000005.wav,42.0,11.666666666666666,0.5,0.0
sample_0000006,(test_45.0_)VWPassat_straight_12.5mps_0.5m_0000006.wav,45.0,12.5,0.5,0.0
sample_0000007,(test_47.0_)VWPassat_straight_13.055555555555555mps_0.5m_0000007.wav,47.0,13.055555555555555,0.5,0.0
sample_0000008,(test_49.0_)VWPassat_straight_13.61111111111111mps_0.5m_0000008.wav,49.0,13.61111111111111,0.5,0.0
sample_0000009,(test_50.0_)VWPassat_straight_13.88888888888889mps_0.5m_0000009.wav,50.0,13.88888888888889,0.5,0.0
sample_0000010,(test_52.0_)VWPassat_straight_14.444444444444445mps_0.5m_0000010.wav,52.0,14.444444444444445,0.5,0.0
sample_0000011,(test_54.0_)VWPassat_straight_15.0mps_0.5m_0000011.wav,54.0,15.0,0.5,0.0
sample_0000012,(test_55.0_)VWPassat_straight_15.277777777777777mps_0.5m_0000012.wav,55.0,15.277777777777777,0.5,0.0
sample_0000013,(test_57.0_)VWPassat_straight_15.833333333333332mps_0.5m_0000013.wav,57.0,15.833333333333332,0.5,0.0
sample_0000014,(test_60.0_)VWPassat_straight_16.666666666666668mps_0.5m_0000014.wav,60.0,16.666666666666668,0.5,0.0
sample_0000015,(test_61.0_)VWPassat_straight_16.944444444444443mps_0.5m_0000015.wav,61.0,16.944444444444443,0.5,0.0
sample_0000016,(test_64.0_)VWPassat_straight_17.77777777777778mps_0.5m_0000016.wav,64.0,17.77777777777778,0.5,0.0
sample_0000017,(test_65.0_)VWPassat_straight_18.055555555555554mps_0.5m_0000017.wav,65.0,18.055555555555554,0.5,0.0
sample_0000018,(test_67.0_)VWPassat_straight_18.61111111111111mps_0.5m_0000018.wav,67.0,18.61111111111111,0.5,0.0
sample_0000019,(test_70.0_)VWPassat_straight_19.444444444444443mps_0.5m_0000019.wav,70.0,19.444444444444443,0.5,0.0
sample_0000020,(test_71.0_)VWPassat_straight_19.72222222222222mps_0.5m_0000020.wav,71.0,19.72222222222222,0.5,0.0
sample_0000021,(test_72.0_)VWPassat_straight_20.0mps_0.5m_0000021.wav,72.0,20.0,0.5,0.0
sample_0000022,(test_73.0_)VWPassat_straight_20.27777777777778mps_0.5m_0000022.wav,73.0,20.27777777777778,0.5,0.0
sample_0000023,(test_75.0_)VWPassat_straight_20.833333333333332mps_0.5m_0000023.wav,75.0,20.833333333333332,0.5,0.0
sample_0000024,(test_78.0_)VWPassat_straight_21.666666666666668mps_0.5m_0000024.wav,78.0,21.666666666666668,0.5,0.0
sample_0000025,(test_80.0_)VWPassat_straight_22.22222222222222mps_0.5m_0000025.wav,80.0,22.22222222222222,0.5,0.0
sample_0000026,(test_81.0_)VWPassat_straight_22.5mps_0.5m_0000026.wav,81.0,22.5,0.5,0.0
sample_0000027,(test_82.0_)VWPassat_straight_22.77777777777778mps_0.5m_0000027.wav,82.0,22.77777777777778,0.5,0.0
sample_0000028,(test_85.0_)VWPassat_straight_23.61111111111111mps_0.5m_0000028.wav,85.0,23.61111111111111,0.5,0.0
sample_0000029,(test_88.0_)VWPassat_straight_24.444444444444443mps_0.5m_0000029.wav,88.0,24.444444444444443,0.5,0.0
sample_0000030,(test_90.0_)VWPassat_straight_25.0mps_0.5m_0000030.wav,90.0,25.0,0.5,0.0
sample_0000031,(test_91.0_)VWPassat_straight_25.27777777777778mps_0.5m_0000031.wav,91.0,25.27777777777778,0.5,0.0
sample_0000032,(test_94.0_)VWPassat_straight_26.11111111111111mps_0.5m_0000032.wav,94.0,26.11111111111111,0.5,0.0
sample_0000033,(test_96.0_)VWPassat_straight_26.666666666666664mps_0.5m_0000033.wav,96.0,26.666666666666664,0.5,0.0
sample_0000034,(test_98.0_)VWPassat_straight_27.22222222222222mps_0.5m_0000034.wav,98.0,27.22222222222222,0.5,0.0
sample_0000035,(test_100.0_)VWPassat_straight_27.77777777777778mps_0.5m_0000035.wav,100.0,27.77777777777778,0.5,0.0
