sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,(test_35.0_)NissanQashQai_straight_9.722222222222221mps_0.5m_0000001.wav,35.0,9.722222222222221,0.5,0.0
sample_0000002,(test_38.0_)NissanQashQai_straight_10.555555555555555mps_0.5m_0000002.wav,38.0,10.555555555555555,0.5,0.0
sample_0000003,(test_40.0_)NissanQashQai_straight_11.11111111111111mps_0.5m_0000003.wav,40.0,11.11111111111111,0.5,0.0
sample_0000004,(test_42.0_)NissanQashQai_straight_11.666666666666666mps_0.5m_0000004.wav,42.0,11.666666666666666,0.5,0.0
sample_0000005,(test_45.0_)NissanQashQai_straight_12.5mps_0.5m_0000005.wav,45.0,12.5,0.5,0.0
sample_0000006,(test_48.0_)NissanQashQai_straight_13.333333333333332mps_0.5m_0000006.wav,48.0,13.333333333333332,0.5,0.0
sample_0000007,(test_50.0_)NissanQashQai_straight_13.88888888888889mps_0.5m_0000007.wav,50.0,13.88888888888889,0.5,0.0
sample_0000008,(test_53.0_)NissanQashQai_straight_14.722222222222221mps_0.5m_0000008.wav,53.0,14.722222222222221,0.5,0.0
sample_0000009,(test_55.0_)NissanQashQai_straight_15.277777777777777mps_0.5m_0000009.wav,55.0,15.277777777777777,0.5,0.0
sample_0000010,(test_58.0_)NissanQashQai_straight_16.11111111111111mps_0.5m_0000010.wav,58.0,16.11111111111111,0.5,0.0
sample_0000011,(test_60.0_)NissanQashQai_straight_16.666666666666668mps_0.5m_0000011.wav,60.0,16.666666666666668,0.5,0.0
sample_0000012,(test_61.0_)NissanQashQai_straight_16.944444444444443mps_0.5m_0000012.wav,61.0,16.944444444444443,0.5,0.0
sample_0000013,(test_64.0_)NissanQashQai_straight_17.77777777777778mps_0.5m_0000013.wav,64.0,17.77777777777778,0.5,0.0
sample_0000014,(test_65.0_)NissanQashQai_straight_18.055555555555554mps_0.5m_0000014.wav,65.0,18.055555555555554,0.5,0.0
sample_0000015,(test_68.0_)NissanQashQai_straight_18.88888888888889mps_0.5m_0000015.wav,68.0,18.88888888888889,0.5,0.0
sample_0000016,(test_70.0_)NissanQashQai_straight_19.444444444444443mps_0.5m_0000016.wav,70.0,19.444444444444443,0.5,0.0
sample_0000017,(test_73.0_)NissanQashQai_straight_20.27777777777778mps_0.5m_0000017.wav,73.0,20.27777777777778,0.5,0.0
sample_0000018,(test_75.0_)NissanQashQai_straight_20.833333333333332mps_0.5m_0000018.wav,75.0,20.833333333333332,0.5,0.0
sample_0000019,(test_78.0_)NissanQashQai_straight_21.666666666666668mps_0.5m_0000019.wav,78.0,21.666666666666668,0.5,0.0
sample_0000020,(test_80.0_)NissanQashQai_straight_22.22222222222222mps_0.5m_0000020.wav,80.0,22.22222222222222,0.5,0.0
sample_0000021,(test_82.0_)NissanQashQai_straight_22.77777777777778mps_0.5m_0000021.wav,82.0,22.77777777777778,0.5,0.0
sample_0000022,(test_85.0_)NissanQashQai_straight_23.61111111111111mps_0.5m_0000022.wav,85.0,23.61111111111111,0.5,0.0
sample_0000023,(test_88.0_)NissanQashQai_straight_24.444444444444443mps_0.5m_0000023.wav,88.0,24.444444444444443,0.5,0.0
sample_0000024,(test_90.0_)NissanQashQai_straight_25.0mps_0.5m_0000024.wav,90.0,25.0,0.5,0.0
sample_0000025,(test_93.0_)NissanQashQai_straight_25.833333333333332mps_0.5m_0000025.wav,93.0,25.833333333333332,0.5,0.0
sample_0000026,(test_94.0_)NissanQashQai_straight_26.11111111111111mps_0.5m_0000026.wav,94.0,26.11111111111111,0.5,0.0
sample_0000027,(test_96.0_)NissanQashQai_straight_26.666666666666664mps_0.5m_0000027.wav,96.0,26.666666666666664,0.5,0.0
sample_0000028,(test_98.0_)NissanQashQai_straight_27.22222222222222mps_0.5m_0000028.wav,98.0,27.22222222222222,0.5,0.0
sample_0000029,(test_102.0_)NissanQashQai_straight_28.333333333333332mps_0.5m_0000029.wav,102.0,28.333333333333332,0.5,0.0
