sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000000,(test_30_)Peuguot307_straight_8.333333333333334mps_0.5m_0000000.wav,30.0,8.333333333333334,0.5,0.0
sample_0000001,(test_31_)Peuguot307_straight_8.61111111111111mps_0.5m_0000001.wav,31.0,8.61111111111111,0.5,0.0
sample_0000002,(test_32_)Peuguot307_straight_8.88888888888889mps_0.5m_0000002.wav,32.0,8.88888888888889,0.5,0.0
sample_0000003,(test_33_)Peuguot307_straight_9.166666666666666mps_0.5m_0000003.wav,33.0,9.166666666666666,0.5,0.0
sample_0000004,(test_34_)Peuguot307_straight_9.444444444444445mps_0.5m_0000004.wav,34.0,9.444444444444445,0.5,0.0
sample_0000005,(test_35_)Peuguot307_straight_9.722222222222221mps_0.5m_0000005.wav,35.0,9.722222222222221,0.5,0.0
sample_0000006,(test_36_)Peuguot307_straight_10.0mps_0.5m_0000006.wav,36.0,10.0,0.5,0.0
sample_0000007,(test_37_)Peuguot307_straight_10.277777777777777mps_0.5m_0000007.wav,37.0,10.277777777777777,0.5,0.0
sample_0000008,(test_38_)Peuguot307_straight_10.555555555555555mps_0.5m_0000008.wav,38.0,10.555555555555555,0.5,0.0
sample_0000009,(test_39_)Peuguot307_straight_10.833333333333334mps_0.5m_0000009.wav,39.0,10.833333333333334,0.5,0.0
sample_0000010,(test_40_)Peuguot307_straight_11.11111111111111mps_0.5m_0000010.wav,40.0,11.11111111111111,0.5,0.0
sample_0000011,(test_41_)Peuguot307_straight_11.38888888888889mps_0.5m_0000011.wav,41.0,11.38888888888889,0.5,0.0
sample_0000012,(test_42_)Peuguot307_straight_11.666666666666666mps_0.5m_0000012.wav,42.0,11.666666666666666,0.5,0.0
sample_0000013,(test_43_)Peuguot307_straight_11.944444444444445mps_0.5m_0000013.wav,43.0,11.944444444444445,0.5,0.0
sample_0000014,(test_44_)Peuguot307_straight_12.222222222222221mps_0.5m_0000014.wav,44.0,12.222222222222221,0.5,0.0
sample_0000015,(test_45_)Peuguot307_straight_12.5mps_0.5m_0000015.wav,45.0,12.5,0.5,0.0
sample_0000016,(test_46_)Peuguot307_straight_12.777777777777777mps_0.5m_0000016.wav,46.0,12.777777777777777,0.5,0.0
sample_0000017,(test_47_)Peuguot307_straight_13.055555555555555mps_0.5m_0000017.wav,47.0,13.055555555555555,0.5,0.0
sample_0000018,(test_48_)Peuguot307_straight_13.333333333333332mps_0.5m_0000018.wav,48.0,13.333333333333332,0.5,0.0
sample_0000019,(test_49_)Peuguot307_straight_13.61111111111111mps_0.5m_0000019.wav,49.0,13.61111111111111,0.5,0.0
sample_0000020,(test_50_)Peuguot307_straight_13.88888888888889mps_0.5m_0000020.wav,50.0,13.88888888888889,0.5,0.0
sample_0000021,(test_51_)Peuguot307_straight_14.166666666666666mps_0.5m_0000021.wav,51.0,14.166666666666666,0.5,0.0
sample_0000022,(test_52_)Peuguot307_straight_14.444444444444445mps_0.5m_0000022.wav,52.0,14.444444444444445,0.5,0.0
sample_0000023,(test_53_)Peuguot307_straight_14.722222222222221mps_0.5m_0000023.wav,53.0,14.722222222222221,0.5,0.0
sample_0000024,(test_54_)Peuguot307_straight_15.0mps_0.5m_0000024.wav,54.0,15.0,0.5,0.0
sample_0000025,(test_55_)Peuguot307_straight_15.277777777777777mps_0.5m_0000025.wav,55.0,15.277777777777777,0.5,0.0
sample_0000026,(test_56_)Peuguot307_straight_15.555555555555555mps_0.5m_0000026.wav,56.0,15.555555555555555,0.5,0.0
sample_0000027,(test_57_)Peuguot307_straight_15.833333333333332mps_0.5m_0000027.wav,57.0,15.833333333333332,0.5,0.0
sample_0000028,(test_58_)Peuguot307_straight_16.11111111111111mps_0.5m_0000028.wav,58.0,16.11111111111111,0.5,0.0
sample_0000029,(test_59_)Peuguot307_straight_16.38888888888889mps_0.5m_0000029.wav,59.0,16.38888888888889,0.5,0.0
sample_0000030,(test_60_)Peuguot307_straight_16.666666666666668mps_0.5m_0000030.wav,60.0,16.666666666666668,0.5,0.0
sample_0000031,(test_61_)Peuguot307_straight_16.944444444444443mps_0.5m_0000031.wav,61.0,16.944444444444443,0.5,0.0
sample_0000032,(test_62_)Peuguot307_straight_17.22222222222222mps_0.5m_0000032.wav,62.0,17.22222222222222,0.5,0.0
sample_0000033,(test_63_)Peuguot307_straight_17.5mps_0.5m_0000033.wav,63.0,17.5,0.5,0.0
sample_0000034,(test_64_)Peuguot307_straight_17.77777777777778mps_0.5m_0000034.wav,64.0,17.77777777777778,0.5,0.0
sample_0000035,(test_65_)Peuguot307_straight_18.055555555555554mps_0.5m_0000035.wav,65.0,18.055555555555554,0.5,0.0
sample_0000036,(test_66_)Peuguot307_straight_18.333333333333332mps_0.5m_0000036.wav,66.0,18.333333333333332,0.5,0.0
sample_0000037,(test_67_)Peuguot307_straight_18.61111111111111mps_0.5m_0000037.wav,67.0,18.61111111111111,0.5,0.0
sample_0000038,(test_68_)Peuguot307_straight_18.88888888888889mps_0.5m_0000038.wav,68.0,18.88888888888889,0.5,0.0
sample_0000039,(test_69_)Peuguot307_straight_19.166666666666668mps_0.5m_0000039.wav,69.0,19.166666666666668,0.5,0.0
sample_0000040,(test_70_)Peuguot307_straight_19.444444444444443mps_0.5m_0000040.wav,70.0,19.444444444444443,0.5,0.0
sample_0000041,(test_71_)Peuguot307_straight_19.72222222222222mps_0.5m_0000041.wav,71.0,19.72222222222222,0.5,0.0
