sample_id,filename,speed_kmph,speed_mps,distance_m,angle_deg
sample_0000001,(test_30.0_)RenaultScenic_straight_8.333333333333334mps_0.5m_0000001.wav,30.0,8.333333333333334,0.5,0.0
sample_0000002,(test_35.0_)RenaultScenic_straight_9.722222222222221mps_0.5m_0000002.wav,35.0,9.722222222222221,0.5,0.0
sample_0000003,(test_36.0_)RenaultScenic_straight_10.0mps_0.5m_0000003.wav,36.0,10.0,0.5,0.0
sample_0000004,(test_38.0_)RenaultScenic_straight_10.555555555555555mps_0.5m_0000004.wav,38.0,10.555555555555555,0.5,0.0
sample_0000005,(test_40.0_)RenaultScenic_straight_11.11111111111111mps_0.5m_0000005.wav,40.0,11.11111111111111,0.5,0.0
sample_0000006,(test_42.0_)RenaultScenic_straight_11.666666666666666mps_0.5m_0000006.wav,42.0,11.666666666666666,0.5,0.0
sample_0000007,(test_44.0_)RenaultScenic_straight_12.222222222222221mps_0.5m_0000007.wav,44.0,12.222222222222221,0.5,0.0
sample_0000008,(test_46.0_)RenaultScenic_straight_12.777777777777777mps_0.5m_0000008.wav,46.0,12.777777777777777,0.5,0.0
sample_0000009,(test_48.0_)RenaultScenic_straight_13.333333333333332mps_0.5m_0000009.wav,48.0,13.333333333333332,0.5,0.0
sample_0000010,(test_50.0_)RenaultScenic_straight_13.88888888888889mps_0.5m_0000010.wav,50.0,13.88888888888889,0.5,0.0
sample_0000011,(test_52.0_)RenaultScenic_straight_14.444444444444445mps_0.5m_0000011.wav,52.0,14.444444444444445,0.5,0.0
sample_0000012,(test_54.0_)RenaultScenic_straight_15.0mps_0.5m_0000012.wav,54.0,15.0,0.5,0.0
sample_0000013,(test_57.0_)RenaultScenic_straight_15.833333333333332mps_0.5m_0000013.wav,57.0,15.833333333333332,0.5,0.0
sample_0000014,(test_60.0_)RenaultScenic_straight_16.666666666666668mps_0.5m_0000014.wav,60.0,16.666666666666668,0.5,0.0
sample_0000015,(test_62.0_)RenaultScenic_straight_17.22222222222222mps_0.5m_0000015.wav,62.0,17.22222222222222,0.5,0.0
sample_0000016,(test_64.0_)RenaultScenic_straight_17.77777777777778mps_0.5m_0000016.wav,64.0,17.77777777777778,0.5,0.0
sample_0000017,(test_66.0_)RenaultScenic_straight_18.333333333333332mps_0.5m_0000017.wav,66.0,18.333333333333332,0.5,0.0
sample_0000018,(test_68.0_)RenaultScenic_straight_18.88888888888889mps_0.5m_0000018.wav,68.0,18.88888888888889,0.5,0.0
sample_0000019,(test_70.0_)RenaultScenic_straight_19.444444444444443mps_0.5m_0000019.wav,70.0,19.444444444444443,0.5,0.0
sample_0000020,(test_71.0_)RenaultScenic_straight_19.72222222222222mps_0.5m_0000020.wav,71.0,19.72222222222222,0.5,0.0
sample_0000021,(test_72.0_)RenaultScenic_straight_20.0mps_0.5m_0000021.wav,72.0,20.0,0.5,0.0
sample_0000022,(test_74.0_)RenaultScenic_straight_20.555555555555554mps_0.5m_0000022.wav,74.0,20.555555555555554,0.5,0.0
sample_0000023,(test_75.0_)RenaultScenic_straight_20.833333333333332mps_0.5m_0000023.wav,75.0,20.833333333333332,0.5,0.0
sample_0000024,(test_77.0_)RenaultScenic_straight_21.38888888888889mps_0.5m_0000024.wav,77.0,21.38888888888889,0.5,0.0
sample_0000025,(test_80.0_)RenaultScenic_straight_22.22222222222222mps_0.5m_0000025.wav,80.0,22.22222222222222,0.5,0.0
sample_0000026,(test_82.0_)RenaultScenic_straight_22.77777777777778mps_0.5m_0000026.wav,82.0,22.77777777777778,0.5,0.0
sample_0000027,(test_84.0_)RenaultScenic_straight_23.333333333333332mps_0.5m_0000027.wav,84.0,23.333333333333332,0.5,0.0
sample_0000028,(test_86.0_)RenaultScenic_straight_23.88888888888889mps_0.5m_0000028.wav,86.0,23.88888888888889,0.5,0.0
sample_0000029,(test_87.0_)RenaultScenic_straight_24.166666666666664mps_0.5m_0000029.wav,87.0,24.166666666666664,0.5,0.0
sample_0000030,(test_90.0_)RenaultScenic_straight_25.0mps_0.5m_0000030.wav,90.0,25.0,0.5,0.0
sample_0000031,(test_91.0_)RenaultScenic_straight_25.27777777777778mps_0.5m_0000031.wav,91.0,25.27777777777778,0.5,0.0
sample_0000032,(test_94.0_)RenaultScenic_straight_26.11111111111111mps_0.5m_0000032.wav,94.0,26.11111111111111,0.5,0.0
sample_0000033,(test_95.0_)RenaultScenic_straight_26.38888888888889mps_0.5m_0000033.wav,95.0,26.38888888888889,0.5,0.0
sample_0000034,(test_98.0_)RenaultScenic_straight_27.22222222222222mps_0.5m_0000034.wav,98.0,27.22222222222222,0.5,0.0
sample_0000035,(test_101.0_)RenaultScenic_straight_28.055555555555554mps_0.5m_0000035.wav,101.0,28.055555555555554,0.5,0.0
